model_retain_mcc,model_forget_mcc,gold_kl_retain,gold_kl_forget,gold_agree_retain,gold_agree_forget,epoch,train_loss
0.6727824488139104,0.0,0.021598689258098602,0.049433473497629166,0.782,0.285,0.0,
0.645702053132567,0.0,0.3079919219017029,0.28703731298446655,0.813,0.751,0.1,1.3882002747322986e-07
0.6387718730843266,0.0,0.3112037479877472,0.287447988986969,0.8095,0.754,0.2,0.00012442957086022943
0.6315702981381964,0.0,0.290731817483902,0.27489933371543884,0.812,0.765,0.3,3.0578314635931747e-07
0.6638310305798487,0.0,0.27941808104515076,0.27295586466789246,0.829,0.752,0.4,3.219406607968267e-07
0.6656038812215033,0.0,0.2766491770744324,0.257710337638855,0.8295,0.753,0.5,1.695388505140727e-07
0.6693355383461136,0.0,0.27253007888793945,0.27006733417510986,0.834,0.749,0.6,4.80988376239111e-07
0.6579436115313403,0.0,0.2720711827278137,0.2650528848171234,0.8285,0.762,0.7,2.1377840653258318e-07
0.6843908273769463,0.0,0.26155999302864075,0.254304438829422,0.8405,0.752,0.8,2.1077308076655754e-07
0.6723414731104143,0.0,0.2670900225639343,0.2549194097518921,0.836,0.764,0.9,2.28722072392884e-07
0.6864006964156443,0.0,0.26595935225486755,0.25971314311027527,0.845,0.757,1.0,3.122465841443045e-07
