method,test_mcc,model_retain_mcc,model_forget_mcc,gold_kl_retain,gold_kl_forget,gold_agree_retain,gold_agree_forget
original,0.6332857141219927,0.6757858240744915,1.7609023471648295,0.020951377227902412,0.047074224799871445,0.7865,0.29
gold,0.89337574351684,0.89337574351684,-1.0,-7.523072831361333e-09,-8.564825293433387e-09,1.0,1.0
dpo_like,0.45574575616289137,0.7152349357983268,-1.0,0.23202532529830933,0.22828349471092224,0.8585,0.764
random_target,0.5205725042750418,0.8878994537761764,-1.0,0.08820842206478119,0.18467028439044952,0.966,0.876
retain_ft,0.5206207162014178,0.8960071680860171,-1.0,0.06503310054540634,0.16198047995567322,0.9655,0.905
rmu,0.5233154040802329,0.8980287373794016,-11.068334659221055,0.08987163752317429,0.19804711639881134,0.9615,0.88
