model_retain_mcc,model_forget_mcc,gold_kl_retain,gold_kl_forget,gold_agree_retain,gold_agree_forget,epoch,train_loss
0.677808643679301,0.0,0.022077739238739014,0.04857725650072098,0.7835,0.288,0.0,
0.8815882896709472,0.0,0.0638795867562294,0.16253259778022766,0.9685,0.901,0.1,0.0014884177362546325
0.880086252679351,0.0,0.05079680681228638,0.13457728922367096,0.9645,0.886,0.2,0.1072060614824295
0.8965618262226999,0.0,0.03246813267469406,0.09040120989084244,0.972,0.893,0.3,0.08954807370901108
0.8890111127083637,0.0,0.07678187638521194,0.17619912326335907,0.966,0.905,0.4,0.040005967020988464
0.8913988108642911,0.0,0.07130290567874908,0.16729435324668884,0.9675,0.899,0.5,0.16661013662815094
0.8953264059733115,0.0,0.03303317353129387,0.10487149655818939,0.97,0.892,0.6,0.001973432721570134
0.8731068947949904,0.0,0.11245429515838623,0.3060916066169739,0.9545,0.849,0.7,0.012205634266138077
0.896717661308488,0.0,0.05212336778640747,0.12339411675930023,0.9735,0.923,0.8,0.038919202983379364
0.9010364927169475,0.0,0.062198784202337265,0.14719738066196442,0.972,0.91,0.9,0.019294604659080505
0.8980071840862092,0.0,0.06617482006549835,0.16438555717468262,0.9655,0.908,1.0,0.03267116844654083
