model_retain_mcc,model_forget_mcc,gold_kl_retain,gold_kl_forget,gold_agree_retain,gold_agree_forget,epoch,train_loss
0.6757035714688004,0.0,0.021823417395353317,0.04843638464808464,0.786,0.295,0.0,
0.8643427268996392,0.0,0.1074872612953186,0.20162713527679443,0.947,0.768,0.1,0.9071019291877747
0.8897529301438636,0.0,0.08386547863483429,0.18171529471874237,0.9575,0.824,0.2,0.5643446445465088
0.8934497137949032,0.0,0.06957579404115677,0.15894335508346558,0.96,0.855,0.3,0.33639276027679443
0.9041464835964752,0.0,0.07397421449422836,0.1669081449508667,0.9675,0.886,0.4,0.23213019967079163
0.8915808052403874,0.0,0.0650157481431961,0.15557576715946198,0.9645,0.848,0.5,0.7595990300178528
0.8946500388902601,0.0,0.08599799126386642,0.18440859019756317,0.968,0.861,0.6,0.8214899301528931
0.897228183219292,0.0,0.07489979267120361,0.17940057814121246,0.968,0.869,0.7,0.36115819215774536
0.8911244701620677,0.0,0.0701223611831665,0.17384839057922363,0.963,0.867,0.8,0.21675294637680054
0.8930004465003349,0.0,0.070297971367836,0.17295382916927338,0.966,0.873,0.9,0.38240569829940796
0.8950219283058685,0.0,0.08988539129495621,0.19938567280769348,0.96,0.872,1.0,0.43892142176628113
